title,amazon_rating,isbn10,amazon_price_usd,first_name,last_name,amazon_ratings_count
Little Black Book for Stunning Success + Tools for Action Mastery,4.4,8184959893,3.3,Robin,Sharma    ,67
The Business School,4.5,8186775811,1.6199999999999999,Robert,T. Kiyosaki   ,216
Before You Start Up: How to Prepare to Make Your Startup Dream a Reality,4.6,8175994401,2.685,Pankaj,Goyal    ,32
Questions Are the Answers,4.4,8186775056,1.2449999999999999,Allan,Pease    ,226
Corporate Chanakya,4.2,8184951337,2.835,Radhakrishnan,Pillai    ,188
IIMA - Day to Day Economics,4.4,8184001630,2.5949999999999998,Satish,Y. Deodhar   ,314
I Do What I Do,4.3,9352770145,5.444999999999999,Raghuram,G. Rajan   ,313
Think and Grow Rich - the 21St-Century Edition,4.6,8183223656,2.775,Napoleon,Hill    ,118
The Business of the 21St Century (Tamil),3.8,8183223362,2.235,Robert,T Kiyosaki   ,22
The Dhandho Investor: The Low-Risk Value Method to High Returns,4.2,8126564636,2.94,Mohnish,Pabrai    ,169
Entrepreneur 5 P.M. to 9 A.M.: Launching a Profitable Start-Up without Quitting...,4.0,8129123932,2.925,Kanth,Miriyala    ,58
The Business School,4.2,8183221645,2.775,Robert,Kiyosaki    ,18
The Business School,3.8,8183222366,2.775,Robert,T Kiyosaki   ,18
Copycat Marketing 101,4.2,8182744466,1.3499999999999999,Burke,Hedges    ,206
The Business of the 21St Century,4.3,8183223664,2.355,Robert,T. Kiyosaki   ,29
Business Sutra: A Very Indian Approach to Management (Old Edition),4.4,9384067547,7.335,Devdutt,Pattanaik    ,110
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",4.5,9350294311,7.154999999999999,Anil,Lamba    ,156
"The $100 Startup: Fire Your Boss, Do What You Love and Work Better To Live More",4.0,1447286316,3.585,Chris,Guillebeau    ,112
The Business of the 21St Century,4.1,8183223273,2.46,Robert,T. Kiyosaki   ,69
The One Minute Manager,4.4,8172234996,1.77,Kenneth,Blanchard    ,234
Sawal Hi Jawab Hai,4.3,8186775064,0.96,Allan,Pease    ,237
The Big 100: The 100 Business Tools You Need to Succeed,4.8,1444796119,3.12,Jeremy,Kourdi    ,6
Naye Zamane Ka Naya Business: Network Marketing,4.2,8183222692,2.85,Shanker,Manshani    ,29
Questions Are the Answers,4.0,8183222374,1.26,Allan,Pease    ,21
Inside the C-Suite: 21 Lessons from Top Management to Get Your Way in Business...,4.8,9352773691,3.5999999999999996,Jayaram,Easwaran    ,15
Business Studies Class- 11 - CBSE-2018,4.9,9387516806,5.25,Poonam,Gandhi    ,11
Narrative and Numbers: The Value of Stories in Business,4.7,9353024536,4.665,Aswath,Damodaran    ,4
Sochiye Aur Amir Baniye (Think and Grow Rich),4.2,8186775552,2.37,Napoleon,Hill    ,332
Business Studies Class 12 - CBSE 2018,4.4,9387516644,5.625,Gandhi.,Poonam    ,8
A Feast of Vultures: The Hidden Business of Democracy in India,4.5,9350297515,7.83,Josy,Joseph    ,254
I have a Dream,3.9,9380658389,2.8049999999999997,Rashmi,Bansal    ,126
Logon ko 90 seconds Mein Kaise Prabhavit Karen,4.3,8183226957,3.105,Nicholas,Boothman    ,21
Think and Grow Rich 21St Cent. Edition,4.4,8183223133,2.835,Napoleon,Hill    ,92
Marketing 4.0: Moving from Traditional to Digital,4.2,8126566930,4.47,Philip,Kotler    ,50
Questions Are the Answers,3.5,8186775447,1.74,Allan,Pease    ,7
Retire Young Retire Rich,4.3,8183221459,5.16,Robert,T. Kiyosaki   ,45
Hum Apko Ameer Kyon Banana Chahte Hain ( Why We Want You to Be Rich  in Hindi),3.9,8183220908,4.995,Robert,T. Kiyosaki   ,15
Connect the Dots,4.3,9381626707,2.955,Rashmi,Bansal    ,344
Corporate Chanakya on Leadership (With CD),4.4,8184953070,4.26,Radhakrishnan,Pillai    ,27
Corporate Guru Dhirubhai Ambani,3.3,8128824287,1.515,Prateeksha,M. Tiwari   ,18
CBSE Chapterwise Solved Paper Business Studies Class 12 for 2018-2019,3.7,9313161443,1.65,Arihant,Expert    ,18
Great Stories for Children,4.4,8129118920,2.73,Ruskin,Bond    ,217
The Essential Collection for Young Readers,4.2,8129137003,2.925,Ruskin,Bond    ,29
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,4.8,1408711702,6.51,J.K.,Rowling    ,52
The Vedas and Upanishads for Children,3.0,9351952967,3.57,Roopa,Pai    ,2
Goodnight Moon,3.9,1509829466,1.605,Margaret,Wise Brown   ,190
365 Pancharantra Stories,4.1,8187107588,5.3549999999999995,OM,Books    ,180
The Blue Umbrella,4.4,8129124548,1.4549999999999998,Ruskin,Bond    ,348
Baby touch: Peekaboo,4.3,1409300498,3.4499999999999997,Lemon,Ribbon Studio   ,596
Children's Encyclopedia - The World of Knowledge: Familiarising Children with...,4.0,9350571099,9.645,V&S,Editorial Board   ,112
