last_name,first_name,isbn10,title,flipkart_price_usd,flipkart_rating,flipkart_ratings_count
Napoleon,Hill,8183223656, Think And Grow Rich - Magic Formula For Success- Wealth And Wisdom,2,4.5,413
T.,Robert,8183223362, The Business Of The 21St Century,2,4.2,102
Pabrai,Mohnish,8126564636, Dhandho Investor The Low-Risk Value Method To High Returns,4,4.3,181
Kanth,Miriyala,8129123932, Entrepreneur 5 P.M. To 9 A.M.,1,4.1,320
Robert,Kiyosaki,8183221645, The Business School,2,4.4,149
Subramanian',K.,8183222366, The Business School,3,4.3,125
Burke,Hedges,8182744466, Copycat Marketing 101,1,4.3,548
T.,Robert,8183223664, Ekvisavya Shatkacha Vyavsay,2,4.3,82
Pattanaik,Devdutt,9384067547, Business Sutra: A Very Indian Approach To Management,5,4.5,294
Lamba,Anil,9350294311, Romancing The Balance Sheet,7,4.5,352
Chris,Guillebeau,1447286316, The $100 Startup,4,4.4,198
T.,ROBERT,8183223273, The Business Of The 21St Century,2,4.3,73
Blanchard,Kenneth,8172234996, One Minute Manager,1,4.4,1087
Pease,Allan,8186775064, Questions Are The Answers,1,4.3,1308
Kourdi,Jeremy,1444796119, The Big 100: The 100 Business Tools You Need To Succeed,2,4.1,28
Shanker,Manshani,8183222692, Naye Zamane Ka Naya Business,2,4.4,118
Allan,Pease,8183222374, Questions Are The Answers,1,4.2,145
Easwaran,Jayaram,9352773691, Inside The C - Suite,3,4,5
GANDHI,POONAM,9387516806, Business Studies Class- 11 - Cbse-2018,5,4.5,33
Damodaran,Aswath,9353024536, Narrative And Numbers: The Value Of Stories In Business,4, , 
Napoleon,Hill,8186775552, Sochiye Aur Ameer Baniye,1,4.2,665
Gandhi,Poonam,9387516644, Vk Business Studies Class 12 - Business Studies,5,4.1,35
Joseph,Josy,9350297515, A Feast Of Vultures,8,4.5,195
Rashmi,Bansal,9380658389, I Have A Dream,2,4,1007
Boothman,Nicholas,8183226957, Logo Ko 90 Seconds Main Prabhavit Kare (Hindi),3,4.4,9
Napoleon,Hill,8183223133, Think And Grow Rich - Magic Formula For Success- Wealth And Wisdom,3,4.3,196
Kotler',Philip,8126566930, Marketing 4.0 - Moving From Traditional To Digital,4,4.4,64
